날짜,제목,링크,분류,첨부파일
2019年7月3日,貿易救済セミナーを開催しました。（当日資料はこちら）,boekikanri/trade-remedy/news/data/news_20190703.html,その他,
2019年6月24日,輸入注意事項の廃止、制定及び一部改正について（PDF形式：869KB）,boekikanri/download/import/2019/20190624_023_im.pdf,輸出入,
2019年6月24日,「輸入貿易管理令第十四条ただし書の規定に基づく経済産業大臣が定める場合」の一部改正について（経済産業省告示第39号）（PDF形式：74KB）,boekikanri/download/import/2019/20190624_022_im.pdf,輸入,
2019年6月24日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（経済産業省告示第38号）（PDF形式：158KB）,boekikanri/download/import/2019/20190624_021_im.pdf,輸入,
2019年6月6日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20190606_talibanhoudou.pdf,経済制裁,
2019年5月29日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（経済産業省告示第16号）（PDF形式：76KB）,boekikanri/download/import/2019/20190529_021_im.pdf,輸入,
2019年5月23日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20190523_talibanhoudou.pdf,経済制裁,
2019年5月16日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20190516_talibanhoudou.pdf,経済制裁,
2019年4月25日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：75KB）,boekikanri/download/seisai/other/20190425_iraqhoudou.pdf,経済制裁,
2019年4月24日,「生鮮又は冷蔵のくろまぐろを輸入する場合の取扱いについて」の一部改正について（輸入注意事項２０１９第２３号）（PDF形式：80KB）,boekikanri/download/import/2019/20190424_tsutatsu_kuromaguro.pdf,輸入,
2019年4月22日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（経済産業省告示第１０８号）（PDF形式：80KB）,boekikanri/download/import/2019/20190422_kokuji108.pdf,輸入,
2019年4月19日,「電子情報処理組織を使用して行う特定手続等に係る申請項目について」及び「キンバリー・プロセス証明制度の参加国等について」の一部改正等について（PDF形式：228KB）,boekikanri/download/export/2019/20190516_teiyakukoku_ikkatsu.pdf,輸出入,
2019年4月19日,「原子力関連貨物の輸出に関する報告書の取扱いについて」等の一部改正等について（PDF形式：373KB）,boekikanri/download/export/2019/20190501_gengoukaisei.pdf,輸出入,
2019年4月16日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：71KB）,boekikanri/download/export/2019/20190416_minamatateiyakukoku.pdf,輸出,
2019年4月11日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20190411_talibanhoudou.pdf,経済制裁,
2019年4月9日,外国為替及び外国貿易法に基づく北朝鮮輸出入禁止措置を延長しました（PDF形式：200KB）,boekikanri/download/seisai/kitachosen/20190409_018_sn.pdf,経済制裁,
2019年3月30日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（経済産業省告示第８７号）（PDF形式：80KB）,boekikanri/download/import/2019/20190330_015_im.pdf,輸入,
2019年3月29日,「貨物の原産地又は船積地域に係る輸入の承認について」の一部改正について（PDF形式：153KB）,boekikanri/download/import/2019/20190329_004_im.pdf,輸入,
2019年3月14日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20190314_talibanhoudou.pdf,経済制裁,
2019年3月1日,（お知らせ）ゴールデンウィーク期間（4月27日（土曜日）～5月6日（月曜日）まで）の申請窓口および審査業務について（PDF形式：338KB）,boekikanri/download/misc/2019/20190301_001_zz.pdf,その他,
2019年2月28日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20190228_talibanhoudou.pdf,経済制裁,
2019年2月28日,「輸入貿易管理規則第二条第一項第一号ハの規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：48KB）,boekikanri/download/import/2019/20190228_001_im.pdf,輸入,
2019年2月15日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：220KB）,boekikanri/download/misc/2019/20190205_001_zz.pdf,その他,
2019年1月25日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：130KB）,boekikanri/download/misc/2019/20190125_001_zz.pdf,その他,
2019年1月11日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：70KB）,boekikanri/download/export/2019/20190111_suiginteiyakukoku.pdf,輸出,
2018年12月27日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：75KB）,boekikanri/download/seisai/other/20181227_iraqhoudou.pdf,経済制裁,
2018年12月25日,「輸出貿易管理令別表第二の一九の項の規定に基づき、経済産業大臣が告示で定めるもの」（PDF形式：44KB）,01_seido/03_law/download_yushutsu/kokuji_ketsuekiseizai_h30_251.pdf,輸出,
2018年12月19日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：59KB）,boekikanri/download/import/2018/20181219_062_im.pdf,輸入,
2018年12月13日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20181213_talibanhoudou.pdf,経済制裁,
2018年12月7日,（お知らせ）年末年始における申請受付窓口について（PDF形式：73KB）,boekikanri/download/misc/2018/20181207_001_zz.pdf,その他,
2018年11月30日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：88KB）,boekikanri/download/import/2018/20181130_n59511810801.pdf,輸出入,
2018年11月16日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：130KB）,boekikanri/download/misc/2018/20181116_001_zz.pdf,その他,
2018年11月6日,輸出貿易管理令の一部を改正する政令案が閣議決定されました（PDF形式：133KB）,boekikanri/download/export/2018/20181106_kakugikettei.pdf,輸出,
2018年11月1日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20181101_talibanhoudou.pdf,経済制裁,
2018年10月30日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：71KB）,boekikanri/download/export/2018/20181030_suiginteiyakukoku.pdf,輸出,
2018年10月30日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：93KB）,boekikanri/download/import/2018/20181029_060_im.pdf,輸入,
2018年10月25日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：93KB）,boekikanri/download/seisai/talibaan/20181025_talibanhoudou.pdf,経済制裁,
2018年9月28日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：134KB）,boekikanri/download/import/2018/20180928_042_im.pdf,輸入,
2018年9月14日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：101KB）,boekikanri/download/import/2018/20180914_040_im.pdf,輸入,
2018年9月13日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：101KB）,boekikanri/download/seisai/talibaan/20180913_talibanhoudou.pdf,経済制裁,
2018年9月7日,平成３０年台風第２１号及び平成３０年北海道胆振東部地震の被災に伴う輸出入許可証等の取扱いの特例措置について（PDF形式：76KB）,boekikanri/download/misc/2018/20180907_saigaitokurei.pdf,その他,
2018年9月7日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：130KB）,boekikanri/download/misc/2018/20180907_001_zz.pdf,その他,
2018年8月30日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：97KB）,boekikanri/download/seisai/talibaan/20180830_talibanhoudou.pdf,経済制裁,
2018年8月20日,「特定有害廃棄物等の輸出承認について」の一部改正について（PDF形式：283KB）,boekikanri/download/export/2018/20180820_Basel_tsutatsu_exp.pdf,輸出入,
2018年8月16日,南スーダンにおける平和等を脅かす行為等に関与した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：241KB）,boekikanri/download/seisai/other/20180816_minamisudan.pdf,経済制裁,
2018年8月8日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：130KB）,boekikanri/download/misc/2018/20180808_001_zz.pdf,その他,
2018年7月31日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：71KB）,boekikanri/download/export/2018/20180731_suiginteiyakukoku.pdf,輸出,
2018年7月26日,米国向け輸出エビ製品に関する水産庁による証明について（PDF形式：107KB）,boekikanri/download/export/2018/20180726us_shrimp_ex.pdf,輸出,
2018年7月12日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：137KB）,boekikanri/download/seisai/talibaan/20180713_talibanhoudou.pdf,経済制裁,
2018年7月12日,平成３０年７月豪雨に伴う外為法の輸出入許可証等の取扱いの特例措置について（PDF形式：79KB）,boekikanri/download/misc/2018/20180712_039_zz.pdf,その他,
2018年7月6日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：130KB）,boekikanri/download/misc/2018/20180706_001_zz.pdf,その他,
2018年6月28日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：217KB）,boekikanri/download/seisai/other/20180628_038_so.pdf,経済制裁,
2018年6月27日,「「包括承認取扱要領」の一部改正について」の一部改正について」（PDF形式：72KB）,boekikanri/download/export/2018/20180627_yusyututyuizikou30_16gou.pdf,輸出,
2018年6月11日,漁船の輸出承認について（PDF形式：163KB）,boekikanri/download/export/2018/20180611_gyosen.pdf,輸出,
2018年6月1日,輸出貿易管理令別表第二及び別表第七の規定に基づき貨物を定める省令の一部を改正する省令（PDF形式：56KB）,boekikanri/download/export/2018/20180601_syorei30gou.pdf,輸出,
2018年5月29日,プレミアムフライデーの輸出申請、輸入申請及び関税割当関係の窓口受付時間の変更について（PDF形式：130KB）,boekikanri/download/misc/2018/20180607_001_zz.pdf,その他,
2018年5月15日,「希少野生動植物種の個体等の輸出承認について」の一部改正について（PDF形式：127KB）,boekikanri/download/export/2018/20180515_035_ex.pdf,輸出,
2018年5月15日,「ワシントン条約動植物及びその派生物の輸入の承認について」の一部改正について（PDF形式：128KB）,boekikanri/download/import/2018/20180515_030_im.pdf,輸入,
2018年5月2日,「輸出貿易管理令第十二条第一号の規定に基づくその輸出の承認の権限が経済産業大臣から税関長に委任される同令別表第二の四三の項の中欄に掲げる貨物から経済産業大臣が告示で除くもの」の一部改正について（PDF形式：55KB）,boekikanri/download/exim/2018/20180502_028_ei.pdf,輸出入,
2018年5月1日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：68KB）,boekikanri/download/export/2018/20180501_suiginteiyakukoku.pdf,輸出,
2018年4月19日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：228KB）,boekikanri/download/seisai/other/20180419_027_so.pdf,経済制裁,
2018年4月10日,国連安保理決議第１７１８号主文１２に従って設置された委員会が平成３０年３月３０日に行った指定に基づく資産凍結等の措置の対象者の拡大について（PDF形式：439KB）,boekikanri/download/seisai/kitachosen/20180410_026_sn.pdf,経済制裁,
2018年3月26日,「電子情報処理組織を使用して行う特定手続等の運用について」の一部改正について（PDF形式：167KB）,boekikanri/download/exim/2018/20180326_023_ei.pdf,輸出入,
2018年3月26日,「放射性同位元素の輸出承認について」の一部改正について（PDF形式：121KB）,boekikanri/download/export/2018/20180326_022_ex.pdf,輸出,
2018年3月22日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：272KB）,boekikanri/download/seisai/other/20180322_021_so.pdf,経済制裁,
2018年3月16日,「輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：58KB）,boekikanri/download/export/2018/20180316_kokuzi33.pdf,輸出,
2018年3月8日,コンゴ民主共和国に対する武器禁輸措置等に違反した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：331KB）,boekikanri/download/seisai/other/20180308_020_so.pdf,経済制裁,
2018年3月7日,「大西洋又は地中海において蓄養された輸入公表三の９の(2)に掲げる国又は地域を除く国又は地域を原産地とする生鮮又は冷蔵のくろまぐろの二号承認制移行について」の一部改正について（PDF形式：141KB）,boekikanri/download/import/2018/20180307_008_im.pdf,輸入,
2018年3月6日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：157KB）,boekikanri/download/import/2018/20180306_003_im.pdf,輸入,
2018年2月27日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：68KB）,boekikanri/download/export/2018/20180227_01_suiginteiyakukoku.pdf,輸出,
2018年1月18日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：124KB）,boekikanri/download/seisai/other/20180118_002_so.pdf,経済制裁,
2017年12月28日,国連安保理決議第2397号の実施のための資産凍結等の措置の対象者の拡大について（PDF形式：327KB）,boekikanri/download/seisai/kitachosen/20171228_062_sn.pdf,経済制裁,
2017年12月26日,輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：93KB）,boekikanri/download/import/2017/20171226_061_im.pdf,輸入,
2017年12月25日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：68KB）,boekikanri/download/export/2017/20171225_060_ex.pdf,輸出,
2017年12月15日,外国為替及び外国貿易法に基づく資産凍結等の措置の対象者の拡大について（PDF形式：265KB）,boekikanri/download/seisai/kitachosen/20171215_059_sn.pdf,経済制裁,
2017年12月11日,（お知らせ）年末年始における申請受付窓口について（PDF形式：72KB）,boekikanri/download/misc/2017/20171211_001_zz.pdf,その他,
2017年11月22日,輸出貿易管理令の一部改正について（PDF形式：50KB）,boekikanri/download/export/2017/20171122_056_ex.pdf,輸出,
2017年11月17日,輸出貿易管理令の一部を改正する政令案が閣議決定されました（PDF形式：133KB）,boekikanri/download/export/2017/20171117_058_ex.pdf,輸出,
2017年11月10日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：96KB）,boekikanri/download/import/2017/20171110_055_im.pdf,輸入,
2017年11月7日,外国為替及び外国貿易法に基づく資産凍結等の措置の対象者の拡大について（PDF形式：413KB）,boekikanri/download/seisai/kitachosen/20171107_054_sn.pdf,経済制裁,
2017年11月6日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：72KB）,boekikanri/download/export/2017/20171106_kaisei_minamatateiyakukoku.pdf,輸出,
2017年10月5日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：161KB）,boekikanri/download/seisai/other/20171005_053_so.pdf,経済制裁,
2017年9月27日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：106KB）,boekikanri/download/import/2017/20170927_052_im.pdf,輸入,
2017年9月25日,輸出貿易管理令の改正（平成29年7月15日）に伴う「輸出貿易管理令の運用について」等の一部改正について（PDF形式：81KB）,boekikanri/download/export/2017/extukaisei20170925.pdf,輸出,
2017年9月22日,外国為替及び外国貿易法に基づく資産凍結等の措置の対象者の拡大について（PDF形式：302KB）,boekikanri/download/seisai/kitachosen/20170922_051_sn.pdf,経済制裁,
2017年9月8日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：84KB）,boekikanri/download/seisai/other/20170908_050_so.pdf,経済制裁,
2017年9月8日,「化学物質の輸出承認について」の一部を改正する規程の制定について（PDF形式：81KB）,boekikanri/download/export/2017/t59511707202.pdf,輸出,
2017年8月25日,外国為替及び外国貿易法に基づく資産凍結等の措置の対象者の拡大について（PDF形式：314KB）,boekikanri/download/seisai/kitachosen/20170825_049_sn.pdf,経済制裁,
2017年8月24日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：227KB）,boekikanri/download/seisai/other/20170824_048_so.pdf,経済制裁,
2017年8月22日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：73KB）,boekikanri/download/export/2017/20170822_minamatateiyakukoku.pdf,輸出,
2017年8月16日,外国為替及び外国貿易法に基づく資産凍結等の措置の対象者拡大について（PDF形式：425KB）,boekikanri/download/seisai/kitachosen/20170816_045_sn.pdf,経済制裁,
2017年8月16日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：79KB）,boekikanri/download/import/2017/20170816_044_im.pdf,輸入,
2017年8月10日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：141KB）,boekikanri/download/import/2017/20170810_041_im.pdf,輸入,
2017年8月10日,「貨物の原産地又は船積地域に係る輸入の承認について」の一部改正について（PDF形式：132KB）,boekikanri/download/import/2017/20170810_029_im.pdf,輸入,
2017年8月10日,「電子情報処理組織を使用して行う特定手続等に係る申請項目について」の一部改正について（PDF形式：385KB）,boekikanri/download/exim/2017/20170810_028_ei.pdf,輸出入,
2017年8月8日,「水銀に関する水俣条約の締約国について」の一部改正について（PDF形式：67KB）,boekikanri/download/export/2017/20170808_028_ex.pdf,輸出,
2017年7月28日,外国為替及び外国貿易法に基づく資産凍結等の措置の対象者拡大について（PDF形式：465KB）,boekikanri/download/seisai/kitachosen/20170728_024_sn.pdf,経済制裁,
2017年7月24日,「輸出貿易管理令別表2の35の3項に規定に基づく、経済産業大臣が告示で定めるもの」の制定（PDF形式：53KB）,boekikanri/download/export/2017/20170724_019_ex.pdf,輸出,
2017年7月18日,「麻薬又は向精神薬の原材料の輸出承認について」（平成22年3月15日付け輸出注意事項22第16号）の一部改正（PDF形式：72KB）,boekikanri/download/export/2017/20170718_017_ex.pdf,輸出,
2017年7月10日,「原子力関連貨物の輸入の承認について」の一部改正について（PDF形式：197KB）,boekikanri/download/import/2017/20170710_016_im.pdf,輸入,
2017年6月30日,「ロッテルダム条約及びストックホルム条約の締約国について」の一部改正について（PDF形式：74KB）,boekikanri/download/export/2017/20170630_023_ex.pdf,輸出,
2017年6月9日,国連安保理決議第2356号の実施のための資産凍結等の措置の対象者の拡大について（PDF形式：223KB）,boekikanri/download/seisai/kitachosen/20170609_015_sn.pdf,経済制裁,
2017年5月19日,「水銀に関する水俣条約の発効が決定しました」,http://www.meti.go.jp/press/2017/05/20170519007/20170519007.html,輸出入,
2017年5月8日,「めろを輸入する場合の確認について」の一部改正について（PDF形式：159KB）,boekikanri/download/import/2017/20170508_014_im.pdf,輸入,
2017年4月27日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：217KB）,boekikanri/download/seisai/other/20170427_011_so.pdf,経済制裁,
2017年4月13日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：155KB）,boekikanri/download/seisai/other/20170413_011_so.pdf,経済制裁,
2017年4月7日,外国為替及び外国貿易法に基づく北朝鮮輸出入禁止措置を延長しました（PDF形式：96KB）,boekikanri/download/seisai/kitachosen/20170407_010_sn.pdf,経済制裁,
2017年4月7日,「特定有害廃棄物等の輸出承認について」の一部を改正について（PDF形式：117KB）,boekikanri/download/export/2017/20170407_009_ex.pdf,輸出,
2017年3月30日,「血液製剤の輸出承認について」の一部改正について（PDF形式：67KB）,boekikanri/download/export/2017/20170330_007_ex.pdf,輸出,
2017年3月9日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：245KB）,boekikanri/download/seisai/other/20170309_012_so.pdf,経済制裁,
2017年2月24日,「台湾を仕向地とする特定有害廃棄物等の輸出承認について」の一部改正について（PDF形式：62KB）,boekikanri/download/export/2017/20170224_006_ex.pdf,輸出,
2017年2月23日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：189KB）,boekikanri/download/seisai/other/20170223_013_so.pdf,経済制裁,
2017年2月22日,輸出貿易管理令の一部を改正する政令案が閣議決定されました（PDF形式：125KB）,boekikanri/download/seisai/kitachosen/20170222_005_sn.pdf,経済制裁,
2017年2月10日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：125KB）,boekikanri/download/export/2017/20170210_003_ex.pdf,輸出,
2017年2月10日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：105KB）,boekikanri/download/import/2017/20170210_002_im.pdf,輸入,
2017年1月23日,「特定有害廃棄物等の輸出承認について」の一部を改正について（PDF形式：61KB）,boekikanri/download/export/2017/20170123_001_ex.pdf,輸出,
2016年12月26日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：142KB）,boekikanri/download/import/2016/20161226_085_im.pdf,輸入,
2016年12月12日,（お知らせ）年末年始における申請受付窓口について（PDF形式：72KB）,boekikanri/download/misc/2016/20161212_001_zz.pdf,その他,
2016年12月9日,国連安保理決議第2321号の実施のための資産凍結等の措置の対象者の拡大について（PDF形式：301KB）,boekikanri/download/seisai/kitachosen/20161209_082_sn.pdf,経済制裁,
2016年11月15日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：75KB）,boekikanri/download/export/2016/20161115_078_ex.pdf,輸出,
2016年11月7日,「血液製剤の輸出承認について」の一部改正について（PDF形式：64KB）,boekikanri/download/export/2016/20161115_079_ex.pdf,輸出,
2016年11月1日,輸出貿易管理令の一部を改正する政令案が閣議決定されました（PDF形式：137KB）,boekikanri/download/export/2016/20161101_075_ex.pdf,輸出,
2016年9月23日,「アメリカ合衆国向け冷凍のあさり、はまぐり及びいがいの輸出承認について」の一部改正について（PDF形式：66KB）,boekikanri/download/export/2016/20160923_074_ex.pdf,輸出,
2016年7月21日,「貨物の原産地又は船積地域に係る輸入の承認について」の一部改正について（PDF形式：79KB）,boekikanri/download/import/2016/20160721_073_im.pdf,輸入,
2016年7月21日,特定輸入承認の表示に関する省令の一部を改正する省令（PDF形式：119KB）,boekikanri/download/import/2016/20160721_072_im.pdf,輸入,
2016年7月14日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：267KB）,boekikanri/download/seisai/other/20160714_071_so.pdf,経済制裁,
2016年5月30日,「輸入公表三の７の（３）に基づく経済産業大臣の輸入に関する確認について」の一部改正について（PDF形式：156KB）,boekikanri/download/import/2016/20160530_068_im.pdf,輸入,
2016年5月23日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：102KB）,boekikanri/download/import/2016/20160523_065_im.pdf,輸入,
2016年5月19日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：204KB）,boekikanri/download/seisai/other/20160519_067_so.pdf,経済制裁,
2016年5月18日,「絶滅のおそれのある野生動植物等に係る輸出許可書等の申請手続等について」（昭和５５年１１月１日付け輸出注意事項５５第１７号）の一部改正について（PDF形式：106KB）,boekikanri/download/export/2016/20160518_064_ex.pdf,輸出,
2016年4月20日,熊本県熊本地方を震源とする地震による被災に伴う輸出入許可証等の取扱いの特例措置について（PDF形式：171KB）,boekikanri/download/exim/2016/20160420_063_ei.pdf,輸出入,
2016年4月13日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：152KB）,boekikanri/download/seisai/other/20160413_062_so.pdf,経済制裁,
2016年3月29日,輸出貿易管理令の一部を改正する政令案が閣議決定されました（PDF形式：161KB）, boekikanri/download/seisai/kitachosen/20160329_061_sn.pdf,経済制裁,
2016年3月24日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：317KB）,boekikanri/download/seisai/other/20160324_060_so.pdf,経済制裁,
2016年3月18日,「輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：47KB）,boekikanri/download/exim/2016/20160318_046_ei.pdf,輸出入,
2016年3月18日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：200KB）,boekikanri/download/exim/2016/20160318_051_ei.pdf,輸出入,
2016年3月18日,「台湾を仕向地とする特定有害廃棄物等の輸出承認について」の一部改正について（PDF形式：701KB）,boekikanri/download/exim/2016/20160318_056_ei.pdf,輸出入,
2016年2月25日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：195KB）,boekikanri/download/seisai/other/20160225_016_so.pdf,経済制裁,
2016年2月19日,外国為替及び外国貿易法に基づく北朝鮮向けの支払の原則禁止及び資産凍結等の措置について（PDF形式：249KB）,boekikanri/download/seisai/kitachosen/20160219_014_sn.pdf,経済制裁,
2016年2月19日,「外国為替令第六条第一項の規定に基づき、外国為替及び外国貿易法第十六条第一項の規定に基づく経済産業大臣の許可を受けなければならない支払等」の一部改正について（PDF形式：58KB）,boekikanri/download/seisai/kitachosen/20160219_013_sn.pdf,経済制裁,
2016年1月22日,イランの核問題に関する国連安保理決議第２２３１号に基づく措置の履行について（PDF形式：529KB）,boekikanri/download/seisai/iran/20160122_002_si.pdf,経済制裁,
2016年1月14日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：148KB）,boekikanri/download/seisai/other/20160114_001_so.pdf,経済制裁,
2015年12月18日,「外国為替令第六条第一項の規定に基づき、外国為替及び外国貿易法第十六条第一項の規定に基づく経済産業大臣の許可を受けなければならない支払等」の一部改正について（PDF形式：42KB）,boekikanri/download/seisai/other/20151218_397_so.pdf,経済制裁,
2015年12月18日,「外国為替令第十五条第一項の規定に基づき、外国為替令第十五条第一項の規定により経済産業大臣が指定する外国為替及び外国貿易法第二十四条第一項の許可を要する特定資本取引」の一部改正について（PDF形式：42KB）,boekikanri/download/seisai/other/20151218_398_so.pdf,経済制裁,
2015年12月17日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：156KB）,boekikanri/download/seisai/other/20151217_396_so.pdf,経済制裁,
2015年12月17日,リベリア前政権の高官又はその関係者等に対する資産凍結等の措置の解除について（PDF形式：152KB）,boekikanri/download/seisai/other/20151217_395_so.pdf,経済制裁,
2015年12月11日,「HCFC」の輸入割当てについて（PDF形式：237KB）,boekikanri/download/import/2015/20151211_385_im.pdf,輸入,
2015年12月11日,（お知らせ）年末年始における申請受付窓口について（PDF形式：72KB）,boekikanri/download/misc/2015/20151211_001_zz.pdf,その他,
2015年11月19日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：254KB）,boekikanri/download/seisai/other/20151119_394_so.pdf,経済制裁,
2015年11月11日,「輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：51KB）,boekikanri/download/exim/2015/20151111_392_ei.pdf,輸出入,
2015年10月29日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：165KB）,boekikanri/download/seisai/other/20151029_381_so.pdf,経済制裁,
